Date,CBA.AX,WOW.AX,BHP.AX,CSL.AX
2023-01-25,96.18376922607422,31.105899810791016,41.491817474365234,279.21343994140625
2023-01-27,97.0852279663086,31.473011016845703,41.7446174621582,277.8745422363281
2023-01-30,97.00570678710938,31.132755279541016,41.48339080810547,276.2715759277344
2023-01-31,97.27083587646484,32.30572509765625,41.60979080200195,281.0615234375
2023-02-01,97.35037231445312,32.33258056640625,41.75304412841797,284.30511474609375
2023-02-02,96.97918701171875,32.46689224243164,41.16319274902344,287.1904296875
2023-02-03,98.23417663574219,32.69073486328125,40.3711051940918,295.8934326171875
2023-02-06,97.88065338134766,32.71760177612305,40.615474700927734,294.1113586425781
2023-02-07,97.48294067382812,32.32362747192383,40.45536422729492,290.4811706542969
2023-02-08,97.5006103515625,32.22513961791992,40.53120803833008,288.7179260253906
2023-02-09,97.40340423583984,31.97442054748535,40.548057556152344,287.8127746582031
2023-02-10,97.17361450195312,32.2430419921875,40.44694137573242,287.5487365722656
2023-02-13,96.59915924072266,32.28781509399414,40.33740234375,287.5959167480469
2023-02-14,96.55494689941406,32.48479461669922,40.21100616455078,290.179443359375
2023-02-15,91.03121185302734,32.21617889404297,40.396385192871094,287.5015869140625
2023-02-16,89.70552062988281,32.67283248901367,40.548057556152344,285.6911926269531
2023-02-17,89.23711395263672,32.85190200805664,40.44694137573242,281.36328125
2023-02-20,90.35069274902344,32.950401306152344,40.83456039428711,281.36328125
2023-02-21,89.72319030761719,32.8787727355957,40.699737548828125,281.4010314941406
2023-02-22,89.52465057373047,33.532405853271484,40.73344421386719,278.8174743652344
2023-02-23,90.1563720703125,33.07575988769531,39.343074798583984,281.6744689941406
2023-02-24,91.34764862060547,33.15633773803711,38.71109390258789,282.3816223144531
2023-02-27,91.50106048583984,33.10262680053711,37.539817810058594,280.78814697265625
2023-02-28,90.86933135986328,33.0578498840332,38.08753967285156,279.3831481933594
2023-03-01,89.38928985595703,32.92354202270508,38.94704055786133,276.130126953125
2023-03-02,87.60240173339844,32.8691291809082,40.48907470703125,275.1401062011719
2023-03-03,88.21607208251953,33.07768630981445,40.716590881347656,276.2904357910156
2023-03-06,88.98316955566406,33.50385284423828,40.77557373046875,277.6858825683594
